article_id,mt5_summary,llama3_reason,gemma2_reason,qwen_reason,llama3_error,gemma2_error,qwen_error,final_error_type,votes_faithful,final_verdict,status
news-45155508,"জাতিসংঘের একটি মানবাধিকার সংস্থা অভিযোগ করেছে, চীনের জিনজিয়াং প্রদেশে উইগুর মুসলিমদের গণহারে ধরে বন্দীশিবিরে নেয়া হচ্ছে।",,All claims in the report are supported.,Both claims are supported by the provided reasons.,None,None,None,None,3,True,Faithful
news-39127107,ভারতের তামিলনাডু রাজ্যে কোকা-কোলা ও পেপসি নিষিদ্ধ করেছে ব্যবসায়ীরা।,,All claims are supported.,Both claims are supported by the provided reasons.,None,None,None,None,3,True,Faithful
news-49141918,বাংলাদেশের রাজধানী ঢাকার বেশ কয়েকটি হাসপাতাল ঘুরে দেখেছেন বিবিসির প্রতিবেদক। সেখানে প্রতিদিনই বাড়ছে ডেঙ্গুতে আক্রান্ত রোগীর সংখ্যা।,,All claims are marked as 'Supported',Both claims are supported by the provided reasons.,None,None,None,None,3,True,Faithful
news-52808250,যুক্তরাষ্ট্রের প্রেসিডেন্ট ডোনাল্ড ট্রাম্প অভিযোগ করেছেন সামাজিক মাধ্যম টুইটার আমেরিকার ২০২০ সালের নির্বাচনে নাক গলাচ্ছে।,None,All claims are supported.,All claims are supported by the provided reason.,None,None,None,None,3,True,Faithful
news-49047323,বাংলাদেশের উত্তরের চারটি জেলা আগামী ২৪ ঘণ্টার মধ্যে বন্যার প্রকোপ ছড়িয়ে পড়ছে।,,"The report states four districts in the central region will be flooded, while the claim states northern Bangladesh.","The report states that four districts in the central part of the country are expected to be flooded, but the claim refers to four districts in the north experiencing a cyclone. These are different locations.",None,Entity,Location,Entity,1,False,Hallucinated
news-39844487,"ভারতের স্বরাষ্ট্রমন্ত্রী রাজনাথ সিং দাবি করেছেন, মাওবাদী বিদ্রোহ দমনে সরকারি কৌশলে বিরাট কোনও পরিবর্তন হচ্ছে না।","The article does not explicitly support the claim, as it mentions criticism of the government's approach and examples of successful peace talks in other countries, which contradict the claim of no significant change in the government's strategy.",All claims in the report are marked as 'Supported',"The claim mentions the Minister of Finance of India, which is not present in the provided report.",Contradiction,None,Entity,Contradiction,1,False,Hallucinated
news-45408278,বাংলাদেশে বিরোধীদল বিএনপি তাদের নেত্রী খালেদা জিয়ার জেলে থাকা এবং নির্বাচন নিয়ে বিদেশি কূটনীতিকদের সাথে বৈঠক করেছে।,,All claims are supported.,The first claim refers to an incorrect entity (Sheikh Hasina instead of Khaleda Zia) and the reason provided does not match the actual content.,None,None,Entity,None,2,True,Faithful
news-54230851,বাংলাদেশে করোনাভাইরাস সংক্রমণের দ্বিতীয় ঢেউ আসতে পারে আশঙ্কা প্রকাশ করেছেন প্রধানমন্ত্রী শেখ হাসিনা।,The report contains duplicate claims,All claims are supported.,All claims are supported by the provided reason.,Duplicate,None,None,None,2,True,Faithful
news-46205974,বাংলাদেশের রাজধানী ঢাকার পল্টনের বিএনপি কার্যালয়ে পুলিশের সাথে সংঘর্ষের ঘটনা ঘটেছে।,,All claims are supported.,All claims are supported.,None,None,None,None,3,True,Faithful
news-53549847,বাংলাদেশে করোনাভাইরাস মহামারির কারণে আইনশৃঙ্খলা বাহিনীর সঙ্গে কথিত 'বন্দুকযুদ্ধে' নিহত হবার ঘটনা অনেকটা নিয়মিত ব্যাপার হয়ে দাঁড়িয়েছে।,The text does not explicitly state that the COVID-19 pandemic is the reason for the 'gun battles' between the law enforcement agency and the armed forces.,"The claim states a connection between COVID-19 and gun battles, but the provided text does not mention COVID-19.","The claim incorrectly associates law enforcement with fatal incidents during the pandemic, when the report mentions that such incidents involved the armed forces and other agencies.",Contradiction,Missing Info,Entity,Missing Info,0,False,Hallucinated
